episode_return_mean,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,seed_17,seed_18,seed_19,seed_20,seed_21,seed_22,seed_23,seed_24,seed_25,seed_26,seed_27,seed_28,seed_29,seed_30,seed_31,seed_32,seed_33,seed_34,seed_35,seed_36,seed_37,seed_38,seed_39,seed_40,seed_41,seed_42,seed_43,seed_44,seed_45,seed_46,seed_47
seed_34,0.9766,0.8828,0.9844,0.9609,0.9336,0.9727,0.8398,0.9961,0.8828,0.9844,0.9844,0.9805,0.8984,0.9023,0.8047,0.9805,0.9766,0.9883,0.9766,0.9844,0.9648,0.9922,0.9883,0.9805,0.8945,0.9922,0.9688,0.9531,0.8555,0.9023,0.9727,0.9844,0.9805,0.9609,0.9805,0.8242,0.8516,0.9766,0.9922,0.8281,0.9922,0.9883,0.9844,0.9141,0.9805,0.8633,0.8828,0.9805
seed_35,0.7852,0.9883,0.7812,0.7812,0.9648,0.7500,0.9648,0.8008,0.9570,0.8242,0.8008,0.7734,0.9570,0.9648,0.9883,0.7617,0.7578,0.7539,0.7812,0.8398,0.7969,0.8555,0.8047,0.7930,0.9688,0.7266,0.7930,0.9492,0.9570,0.9727,0.8164,0.7539,0.8242,0.6797,0.7773,0.9531,0.9648,0.8125,0.7969,0.9766,0.8203,0.8125,0.8438,0.9688,0.7422,0.9727,0.9531,0.9219
seed_36,0.8438,0.9805,0.8398,0.8203,0.9844,0.7930,0.9922,0.8359,0.9922,0.8711,0.7734,0.8359,0.9922,0.9844,0.9961,0.8164,0.8086,0.8398,0.8203,0.8906,0.8359,0.9023,0.8203,0.8398,0.9805,0.8438,0.8750,0.9688,0.9648,0.9961,0.8438,0.8516,0.8320,0.7812,0.8047,0.9844,0.9922,0.8672,0.8828,0.9883,0.8242,0.8281,0.8633,0.9922,0.8398,0.9883,0.9648,0.9141
seed_37,0.9844,0.9141,0.9727,0.9609,0.9258,0.9805,0.8711,0.9766,0.8672,0.9766,0.9883,0.9922,0.9062,0.8906,0.8047,0.9883,0.9648,0.9922,0.9727,0.9922,0.9648,0.9844,0.9883,0.9883,0.9141,0.9883,0.9766,0.9688,0.8789,0.9180,0.9922,0.9922,0.9727,0.9805,0.9844,0.7773,0.8750,0.9883,1.0000,0.8828,0.9766,0.9844,0.9922,0.9062,0.9922,0.9023,0.9023,0.9922
seed_38,0.9961,0.9141,0.9883,0.9844,0.9258,0.9727,0.8516,0.9922,0.8945,0.9883,0.9883,0.9844,0.9023,0.8945,0.8125,0.9805,0.9961,0.9961,0.9805,0.9883,0.9727,0.9922,0.9883,0.9844,0.8516,0.9922,0.9922,0.9922,0.8516,0.9297,0.9961,0.9922,0.9844,0.9727,0.9961,0.8008,0.8438,0.9766,0.9922,0.7812,0.9922,0.9883,0.9844,0.9453,0.9727,0.9062,0.9297,0.9844
seed_39,0.7930,0.9766,0.8320,0.8164,0.9844,0.8242,0.9805,0.8594,0.9805,0.8633,0.8125,0.8164,0.9688,0.9766,0.9805,0.8320,0.8125,0.8633,0.8594,0.8516,0.8164,0.8906,0.8594,0.8320,1.0000,0.8125,0.8398,0.9688,0.9766,0.9844,0.8398,0.8125,0.8711,0.7617,0.8281,0.9727,0.9766,0.8594,0.8633,0.9688,0.8750,0.7969,0.8828,0.9844,0.8438,0.9766,0.9688,0.8477
seed_40,0.9961,0.9258,0.9961,0.9766,0.9375,0.9844,0.8477,0.9883,0.9062,0.9844,0.9883,0.9844,0.9062,0.8984,0.8398,0.9922,0.9727,0.9844,0.9766,0.9688,0.9688,0.9883,0.9922,0.9922,0.9375,0.9922,0.9844,0.9922,0.8555,0.9453,0.9922,0.9922,0.9766,0.9805,0.9883,0.8594,0.8750,0.9805,0.9922,0.8555,0.9922,0.9922,0.9922,0.9141,0.9883,0.9219,0.9141,0.9922
seed_41,0.9961,0.8750,0.9727,0.9805,0.9219,0.9805,0.8359,0.9961,0.8477,0.9922,0.9961,0.9883,0.8750,0.8164,0.8086,0.9805,0.9688,0.9961,0.9883,1.0000,0.9805,0.9922,0.9805,0.9883,0.8750,0.9961,0.9922,0.9766,0.8477,0.9062,0.9961,1.0000,0.9883,0.9727,0.9961,0.7773,0.8320,0.9961,0.9961,0.8398,0.9844,0.9961,0.9961,0.8789,0.9883,0.8789,0.9141,0.9844
seed_42,0.9844,0.9297,0.9961,0.9961,0.9414,0.9961,0.8828,0.9883,0.8594,0.9805,0.9922,0.9688,0.9141,0.8828,0.8164,0.9883,0.9766,0.9883,0.9688,0.9922,0.9883,0.9922,0.9922,0.9961,0.9414,0.9961,0.9922,0.9883,0.8672,0.9648,0.9922,0.9961,0.9922,0.9727,0.9922,0.8047,0.8750,0.9844,0.9766,0.8750,0.9922,0.9883,0.9844,0.9375,0.9727,0.9102,0.9414,0.9883
seed_43,0.8594,0.9961,0.8984,0.8633,0.9961,0.8438,0.9844,0.8711,0.9922,0.8945,0.8867,0.9062,1.0000,0.9883,1.0000,0.8359,0.8516,0.8789,0.8359,0.8945,0.8281,0.9180,0.8828,0.8906,0.9922,0.8438,0.9180,0.9922,0.9844,0.9961,0.9258,0.8477,0.8750,0.8320,0.9141,0.9688,0.9922,0.9297,0.9062,0.9883,0.9102,0.8594,0.9219,0.9883,0.8984,0.9844,0.9805,0.9648
seed_44,0.9805,0.8789,0.9805,0.9609,0.9062,0.9844,0.8008,0.9766,0.8242,0.9766,0.9883,0.9688,0.9023,0.8008,0.8203,0.9883,0.9805,0.9883,0.9648,0.9961,0.9609,0.9805,0.9961,0.9883,0.9062,0.9766,0.9883,0.9727,0.8867,0.9258,0.9961,0.9922,0.9688,0.9805,0.9805,0.7891,0.8516,0.9961,0.9961,0.8398,1.0000,0.9727,0.9922,0.8594,0.9883,0.8828,0.8711,0.9805
seed_45,0.8750,0.9961,0.8438,0.8555,0.9766,0.8398,0.9883,0.8789,0.9648,0.8750,0.8789,0.8555,0.9766,0.9922,0.9922,0.8750,0.8711,0.8672,0.8359,0.9180,0.8359,0.9219,0.9180,0.8750,0.9883,0.8750,0.8711,0.9844,0.9766,0.9883,0.9297,0.8828,0.9062,0.8242,0.9102,0.9805,0.9766,0.8906,0.8672,0.9766,0.9180,0.8555,0.9414,0.9883,0.8789,0.9805,0.9805,0.9492
seed_46,0.8945,0.9805,0.8828,0.8984,0.9883,0.8828,0.9922,0.8789,0.9648,0.9062,0.8945,0.8750,0.9727,0.9844,0.9922,0.9023,0.8828,0.8984,0.8945,0.9062,0.8828,0.9258,0.9219,0.8828,0.9688,0.8867,0.9219,0.9844,0.9727,0.9805,0.9180,0.9023,0.9141,0.8633,0.8789,0.9375,0.9766,0.9062,0.9531,0.9492,0.9219,0.8945,0.9297,0.9844,0.9141,0.9727,0.9766,0.9453
seed_47,0.9922,0.9453,0.9922,0.9688,0.9570,0.9648,0.9219,0.9922,0.9102,0.9922,0.9805,0.9805,0.9258,0.9336,0.8945,0.9805,0.9688,0.9648,0.9883,0.9844,0.9570,0.9844,0.9922,0.9805,0.9297,0.9727,0.9766,0.9805,0.9336,0.9609,0.9961,0.9844,0.9844,0.9570,0.9766,0.8828,0.9062,0.9766,0.9805,0.8906,0.9766,0.9844,0.9727,0.9609,0.9844,0.9453,0.9492,0.9883

episode_return_std,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,seed_17,seed_18,seed_19,seed_20,seed_21,seed_22,seed_23,seed_24,seed_25,seed_26,seed_27,seed_28,seed_29,seed_30,seed_31,seed_32,seed_33,seed_34,seed_35,seed_36,seed_37,seed_38,seed_39,seed_40,seed_41,seed_42,seed_43,seed_44,seed_45,seed_46,seed_47
seed_0,0.0624,0.2557,0.1076,0.1240,0.2421,0.1240,0.3773,0.0624,0.3738,0.1076,0.0880,0.1076,0.2621,0.3476,0.4052,0.0880,0.1076,0.0880,0.1384,0.0000,0.1740,0.0880,0.1384,0.0624,0.3555,0.1384,0.1076,0.1631,0.3394,0.2274,0.1513,0.0880,0.0624,0.1384,0.0624,0.3738,0.3872,0.0624,0.0000,0.3631,0.1240,0.1384,0.0624,0.3262,0.1384,0.3476,0.2621,0.0880
seed_1,0.2860,0.0880,0.2274,0.2915,0.1076,0.2803,0.1513,0.2803,0.1240,0.2744,0.3555,0.3555,0.1740,0.1076,0.0880,0.2684,0.2915,0.2274,0.3216,0.2421,0.3307,0.2684,0.2274,0.2860,0.0624,0.3021,0.2860,0.1842,0.1513,0.1240,0.2028,0.3021,0.2968,0.3216,0.3072,0.1740,0.1240,0.2744,0.3351,0.1631,0.2349,0.3476,0.2684,0.0880,0.2621,0.1076,0.1384,0.2274
seed_2,0.0880,0.2744,0.0880,0.1740,0.2621,0.1076,0.3703,0.1076,0.3216,0.1384,0.1076,0.0624,0.2968,0.3436,0.3872,0.1384,0.1240,0.0624,0.1740,0.1076,0.1513,0.1076,0.0624,0.1076,0.3872,0.0000,0.1076,0.1240,0.2968,0.2860,0.1076,0.1240,0.0880,0.1631,0.1076,0.4160,0.3668,0.1384,0.1513,0.3839,0.1240,0.1076,0.0624,0.3216,0.0624,0.2915,0.2860,0.1240
seed_3,0.1076,0.3072,0.0880,0.2114,0.2490,0.1076,0.3806,0.1240,0.3169,0.2028,0.1240,0.0880,0.3594,0.3703,0.3903,0.1842,0.1842,0.0880,0.2028,0.1384,0.2557,0.1384,0.0880,0.1842,0.3555,0.1076,0.1240,0.2028,0.3351,0.3631,0.1513,0.1631,0.1740,0.2114,0.2028,0.4330,0.3394,0.1384,0.1513,0.3738,0.1631,0.1842,0.1384,0.3394,0.0624,0.3021,0.2915,0.1513
seed_4,0.2490,0.1384,0.2274,0.3021,0.1740,0.2557,0.1240,0.2490,0.1513,0.2349,0.2621,0.2968,0.1937,0.1513,0.0880,0.2968,0.3436,0.2915,0.2915,0.2421,0.3169,0.2744,0.2196,0.2684,0.1384,0.3394,0.2196,0.1513,0.0880,0.0624,0.2028,0.2490,0.2421,0.3351,0.2915,0.1937,0.1842,0.2490,0.2421,0.0880,0.2421,0.2621,0.2490,0.1240,0.2621,0.0880,0.1384,0.1937
seed_5,0.1076,0.3476,0.0624,0.1384,0.2968,0.0624,0.3394,0.0880,0.3703,0.1384,0.0880,0.0000,0.3668,0.3806,0.3934,0.0880,0.1240,0.1076,0.1240,0.0624,0.1937,0.0624,0.1631,0.0624,0.3773,0.0624,0.0880,0.1076,0.3169,0.3307,0.0000,0.0880,0.0624,0.1240,0.0880,0.4417,0.3872,0.0880,0.1076,0.4052,0.0624,0.0880,0.0624,0.3555,0.1076,0.3307,0.3021,0.1076
seed_6,0.4107,0.0880,0.3072,0.3964,0.1240,0.3839,0.0880,0.3703,0.1384,0.3806,0.3703,0.3773,0.1076,0.1631,0.0000,0.3839,0.4080,0.3773,0.3839,0.3307,0.3351,0.3072,0.3394,0.3436,0.0624,0.3631,0.2803,0.1631,0.1076,0.1240,0.3394,0.3703,0.3262,0.4374,0.3436,0.1513,0.0624,0.3668,0.3216,0.0880,0.3703,0.3839,0.2860,0.1076,0.3903,0.1240,0.1384,0.2349
seed_7,0.0624,0.3351,0.0000,0.1240,0.2621,0.0624,0.3668,0.0624,0.3351,0.1076,0.0624,0.1076,0.3121,0.3738,0.4396,0.1076,0.1240,0.1384,0.1384,0.1076,0.1631,0.0624,0.0880,0.1076,0.3436,0.0624,0.1076,0.1740,0.3703,0.2860,0.0880,0.0880,0.1240,0.1240,0.1384,0.4496,0.3773,0.1076,0.1384,0.3436,0.0880,0.0880,0.0624,0.3307,0.1631,0.3555,0.3351,0.1384
seed_8,0.3594,0.1240,0.3476,0.4052,0.1076,0.3668,0.1384,0.3839,0.1631,0.2968,0.3668,0.3738,0.2114,0.1513,0.0624,0.3021,0.3773,0.3351,0.3668,0.2557,0.3516,0.2621,0.3072,0.3351,0.0000,0.3516,0.3021,0.1513,0.1513,0.0880,0.3516,0.3631,0.2968,0.3964,0.3668,0.1937,0.1076,0.3555,0.2744,0.1513,0.2557,0.3839,0.3169,0.1076,0.3903,0.1740,0.1631,0.2349
seed_9,0.1076,0.2744,0.1384,0.1740,0.2349,0.1240,0.3738,0.0624,0.3307,0.1384,0.1076,0.0000,0.2744,0.3872,0.3436,0.1240,0.0880,0.1384,0.1631,0.1076,0.1842,0.1076,0.1240,0.1076,0.3351,0.0624,0.1240,0.1631,0.3872,0.2684,0.0624,0.0880,0.1240,0.2028,0.1240,0.3738,0.3476,0.1384,0.1513,0.3738,0.1240,0.0000,0.1513,0.2968,0.1240,0.3021,0.2684,0.1076
seed_10,0.1076,0.2490,0.0624,0.1384,0.2803,0.1076,0.3516,0.1076,0.3773,0.1384,0.0880,0.0880,0.3169,0.3394,0.3668,0.1240,0.1240,0.1076,0.1513,0.0000,0.1740,0.1240,0.0880,0.1240,0.3216,0.0624,0.1384,0.1240,0.3555,0.2968,0.1076,0.0880,0.1513,0.1631,0.1384,0.3994,0.3738,0.1384,0.0624,0.3934,0.0880,0.1076,0.0880,0.3594,0.0880,0.3216,0.2915,0.1631
seed_11,0.1240,0.2860,0.0880,0.0000,0.2490,0.0880,0.3631,0.1240,0.3476,0.0880,0.0880,0.0880,0.3021,0.3516,0.3964,0.1076,0.0880,0.0624,0.2196,0.1076,0.1384,0.1631,0.0624,0.1240,0.3262,0.0624,0.0624,0.1384,0.3216,0.2744,0.0880,0.0624,0.0880,0.1513,0.0880,0.4236,0.3839,0.1384,0.1076,0.3476,0.0624,0.0880,0.1076,0.2860,0.1076,0.3351,0.3216,0.1240
seed_12,0.2349,0.1513,0.3021,0.3216,0.1384,0.3516,0.1240,0.2860,0.1740,0.3307,0.3351,0.2968,0.1240,0.1384,0.1384,0.3262,0.3516,0.2621,0.3594,0.3169,0.3476,0.2557,0.2114,0.2968,0.0880,0.3806,0.2915,0.1740,0.1842,0.1240,0.2744,0.3738,0.2915,0.3773,0.3351,0.1513,0.1384,0.3169,0.2968,0.1384,0.2421,0.3169,0.2968,0.1240,0.3436,0.1631,0.1384,0.2274
seed_13,0.3516,0.1384,0.3476,0.3964,0.1631,0.4160,0.1513,0.3806,0.1740,0.3351,0.3351,0.3351,0.1513,0.1076,0.1513,0.3216,0.3934,0.3773,0.3934,0.2968,0.3594,0.2968,0.3262,0.3555,0.1384,0.4160,0.3262,0.1740,0.1740,0.1076,0.3668,0.3668,0.3351,0.4307,0.3436,0.1937,0.1240,0.3121,0.3351,0.2114,0.1740,0.3668,0.3169,0.1937,0.3436,0.1240,0.1384,0.3262
seed_14,0.3594,0.0880,0.4052,0.4023,0.0624,0.4186,0.1076,0.4186,0.0000,0.3169,0.4307,0.4284,0.1076,0.1240,0.0624,0.3903,0.4080,0.4260,0.4374,0.3703,0.3594,0.3351,0.3738,0.4186,0.0000,0.4052,0.3806,0.1631,0.1240,0.0000,0.3773,0.4186,0.3594,0.4437,0.3934,0.1513,0.1076,0.3934,0.3773,0.1384,0.3555,0.3738,0.3903,0.0880,0.4080,0.1240,0.0624,0.3121
seed_15,0.1631,0.2860,0.1513,0.1513,0.2915,0.0000,0.3516,0.0624,0.3307,0.1384,0.1076,0.1384,0.3121,0.3773,0.3703,0.1513,0.0880,0.1076,0.1631,0.0624,0.1631,0.1076,0.1076,0.0624,0.3516,0.1076,0.1076,0.1740,0.3631,0.2803,0.0880,0.0880,0.1076,0.0880,0.1240,0.4080,0.3394,0.0880,0.1076,0.3516,0.1076,0.0624,0.0624,0.3476,0.1240,0.2860,0.2860,0.1384
seed_16,0.0624,0.3594,0.1384,0.1740,0.3072,0.1240,0.3806,0.1631,0.3668,0.1240,0.1384,0.1384,0.3394,0.3934,0.4330,0.1240,0.0880,0.1076,0.1842,0.1513,0.1384,0.1240,0.0624,0.1076,0.3668,0.0880,0.1631,0.1842,0.3964,0.3307,0.0880,0.1240,0.1076,0.1631,0.1513,0.4107,0.3594,0.1384,0.1513,0.3964,0.1076,0.1240,0.1076,0.3216,0.1740,0.3555,0.3072,0.1384
seed_17,0.0880,0.2557,0.1384,0.0624,0.2744,0.0000,0.3839,0.0880,0.3555,0.0624,0.1240,0.0624,0.2557,0.3555,0.3872,0.0880,0.1076,0.0880,0.1240,0.0000,0.1740,0.0624,0.0880,0.1076,0.2915,0.0000,0.0880,0.2028,0.2860,0.2490,0.0624,0.0880,0.1384,0.1631,0.0624,0.4236,0.3631,0.0880,0.1076,0.3964,0.0880,0.0624,0.0880,0.2915,0.0000,0.3121,0.3216,0.0000
seed_18,0.1384,0.3516,0.1631,0.1842,0.2915,0.1384,0.3994,0.1384,0.3668,0.1631,0.1937,0.1740,0.2915,0.3555,0.4023,0.1240,0.1740,0.1384,0.1631,0.1240,0.2421,0.1240,0.1076,0.1513,0.3668,0.1740,0.0880,0.2114,0.3738,0.3307,0.1513,0.1384,0.1842,0.1842,0.1631,0.4352,0.3394,0.1240,0.1631,0.4023,0.1076,0.1384,0.1240,0.3703,0.1384,0.3516,0.3021,0.1740
seed_19,0.1076,0.2490,0.1240,0.1631,0.2490,0.1240,0.3394,0.0880,0.2968,0.1076,0.0624,0.1076,0.3021,0.2196,0.3773,0.0624,0.1076,0.0624,0.1842,0.0880,0.1076,0.0624,0.0624,0.1076,0.3021,0.0624,0.1076,0.1384,0.3021,0.2114,0.1076,0.0000,0.0880,0.0880,0.0880,0.3631,0.3631,0.0624,0.0880,0.3436,0.0880,0.0880,0.0880,0.2684,0.1240,0.2860,0.2490,0.0880
seed_20,0.1631,0.3121,0.1740,0.1937,0.2915,0.1842,0.3703,0.1631,0.3631,0.1076,0.1631,0.1240,0.3394,0.3934,0.3934,0.1513,0.2114,0.1937,0.2421,0.1384,0.2028,0.1384,0.1631,0.1513,0.3394,0.1842,0.1513,0.2114,0.3594,0.3351,0.1513,0.2114,0.2114,0.1513,0.2274,0.4052,0.3806,0.1937,0.1513,0.3903,0.1240,0.1240,0.1937,0.3476,0.2196,0.3121,0.3351,0.2349
seed_21,0.0624,0.2421,0.0880,0.1740,0.2349,0.0624,0.3668,0.0624,0.2349,0.1384,0.0880,0.1513,0.2684,0.3351,0.3394,0.1076,0.1076,0.1076,0.1076,0.0880,0.1384,0.1076,0.0624,0.1076,0.3394,0.1076,0.0880,0.1076,0.3216,0.1384,0.0880,0.0624,0.0880,0.1513,0.0880,0.3169,0.3594,0.0624,0.1384,0.2968,0.1513,0.0000,0.1076,0.2684,0.1240,0.2621,0.2860,0.1513
seed_22,0.0624,0.2557,0.1076,0.0880,0.2349,0.1076,0.3436,0.0000,0.3072,0.0880,0.0624,0.0000,0.2274,0.3072,0.3839,0.0880,0.1076,0.0000,0.1384,0.0624,0.1384,0.0000,0.1240,0.0880,0.3021,0.0000,0.1076,0.1076,0.3072,0.1384,0.0000,0.1076,0.0880,0.1631,0.1240,0.3738,0.3394,0.1076,0.0624,0.3516,0.1384,0.1076,0.0880,0.3021,0.0880,0.2915,0.3021,0.0624
seed_23,0.0880,0.2915,0.1513,0.1842,0.2557,0.1240,0.3351,0.1240,0.3631,0.0880,0.1076,0.0880,0.2621,0.3351,0.3994,0.1384,0.1076,0.0000,0.1240,0.0000,0.1384,0.1076,0.0000,0.1631,0.2557,0.1513,0.0624,0.1513,0.3394,0.2621,0.0624,0.1076,0.0880,0.1842,0.1240,0.4260,0.3773,0.2114,0.0880,0.3394,0.0880,0.0000,0.1631,0.2915,0.1240,0.3394,0.3021,0.1240
seed_24,0.3121,0.0880,0.3351,0.3703,0.0880,0.3351,0.1513,0.3476,0.1076,0.3072,0.3555,0.2860,0.1240,0.1076,0.0624,0.3476,0.3738,0.3216,0.3394,0.2968,0.3703,0.3169,0.2803,0.3169,0.0624,0.3072,0.2860,0.1740,0.1076,0.0624,0.2621,0.3351,0.3307,0.3631,0.3121,0.1937,0.0624,0.3169,0.2915,0.0624,0.2803,0.3216,0.2196,0.0880,0.3307,0.1513,0.1384,0.2744
seed_25,0.0000,0.3021,0.1076,0.1076,0.2915,0.0624,0.3839,0.1076,0.3631,0.1384,0.1076,0.0624,0.3476,0.4160,0.3903,0.0880,0.1384,0.0000,0.1740,0.0880,0.1384,0.0880,0.0624,0.1076,0.3668,0.1076,0.1240,0.1631,0.3394,0.3994,0.0880,0.1240,0.1513,0.1076,0.1513,0.4330,0.3872,0.0000,0.0000,0.3872,0.1076,0.0880,0.0000,0.4107,0.1513,0.3216,0.3021,0.1384
seed_26,0.1076,0.2968,0.1240,0.1513,0.1937,0.1384,0.3631,0.1631,0.3072,0.0880,0.1076,0.0624,0.2915,0.3307,0.3476,0.1513,0.1240,0.1076,0.1937,0.1076,0.1631,0.0880,0.0880,0.1076,0.3555,0.1076,0.1384,0.1740,0.3021,0.2684,0.1513,0.0624,0.1384,0.1076,0.0880,0.3934,0.3631,0.1513,0.0880,0.3631,0.0624,0.0880,0.1076,0.2968,0.1513,0.2803,0.2803,0.1240
seed_27,0.1240,0.1384,0.1076,0.1631,0.1240,0.1740,0.1842,0.1384,0.1240,0.1842,0.1740,0.1384,0.1631,0.1842,0.1076,0.1240,0.1631,0.0880,0.1631,0.1631,0.1740,0.0880,0.1384,0.1631,0.1513,0.2114,0.1937,0.0624,0.1631,0.0624,0.1631,0.0880,0.1513,0.1384,0.1631,0.2274,0.1631,0.1513,0.1076,0.1842,0.1076,0.1513,0.1384,0.1384,0.2196,0.1631,0.1513,0.0880
seed_28,0.3703,0.0880,0.3436,0.3668,0.1076,0.3594,0.1513,0.3703,0.1076,0.3351,0.3307,0.3169,0.1842,0.1513,0.1076,0.2744,0.3516,0.3476,0.3436,0.2915,0.3594,0.2860,0.3262,0.3516,0.1513,0.3307,0.3216,0.1384,0.2421,0.1513,0.2744,0.3839,0.3351,0.3903,0.3476,0.2196,0.1240,0.3555,0.3262,0.1384,0.3307,0.3476,0.3169,0.1842,0.3216,0.1631,0.1631,0.3021
seed_29,0.2860,0.0880,0.2968,0.3121,0.1240,0.3738,0.0624,0.2968,0.0000,0.2490,0.3021,0.2744,0.1076,0.1842,0.0624,0.2490,0.3169,0.2557,0.3436,0.2114,0.3476,0.2114,0.2490,0.2557,0.0000,0.3555,0.2421,0.1076,0.0880,0.0880,0.2744,0.2860,0.2349,0.3631,0.2860,0.1513,0.0880,0.2684,0.2860,0.0624,0.2196,0.3072,0.2684,0.0880,0.3351,0.0624,0.1631,0.1513
seed_30,0.0880,0.3021,0.1076,0.1076,0.2490,0.1384,0.3307,0.0880,0.3307,0.0624,0.1631,0.1240,0.2968,0.3703,0.3839,0.0624,0.1384,0.1076,0.0624,0.0624,0.1384,0.0624,0.0880,0.1240,0.2968,0.0624,0.0880,0.1384,0.2860,0.2114,0.1076,0.0624,0.1076,0.1513,0.1076,0.3934,0.3262,0.1240,0.1076,0.3476,0.1076,0.0000,0.1240,0.2557,0.0880,0.2860,0.2684,0.1240
seed_31,0.0624,0.2860,0.0000,0.1240,0.2349,0.0880,0.3703,0.1384,0.3703,0.0624,0.1076,0.1384,0.3351,0.3351,0.4023,0.1240,0.1240,0.0000,0.1631,0.1076,0.1513,0.1240,0.1076,0.0000,0.3121,0.0624,0.0624,0.0880,0.3436,0.2421,0.0624,0.1384,0.0000,0.1384,0.1740,0.4107,0.3703,0.1076,0.0000,0.3839,0.0880,0.0880,0.1076,0.3476,0.1240,0.3555,0.3394,0.1240
seed_32,0.1240,0.2744,0.1631,0.1631,0.2621,0.1076,0.3351,0.1240,0.3394,0.1513,0.1240,0.0880,0.2968,0.3516,0.4023,0.1740,0.1513,0.1384,0.1842,0.1240,0.2349,0.1631,0.0624,0.1240,0.3476,0.1384,0.1076,0.1076,0.3703,0.2621,0.1384,0.1240,0.1240,0.1631,0.1740,0.4080,0.3668,0.1240,0.1513,0.3121,0.1631,0.1384,0.1513,0.3121,0.1513,0.2860,0.2684,0.1513
seed_33,0.1384,0.3216,0.1240,0.1631,0.3351,0.1384,0.4211,0.1384,0.4186,0.1240,0.1631,0.1384,0.4160,0.3903,0.4260,0.0880,0.0880,0.1631,0.1842,0.1076,0.1937,0.1631,0.0880,0.1240,0.4134,0.1384,0.0880,0.2114,0.3436,0.3516,0.1240,0.0624,0.1076,0.1513,0.2196,0.4681,0.3994,0.1513,0.0624,0.4307,0.1384,0.0624,0.1740,0.3934,0.1513,0.3476,0.3169,0.1513
seed_34,0.1513,0.3216,0.1240,0.1937,0.2490,0.1631,0.3668,0.0624,0.3216,0.1240,0.1240,0.1384,0.3021,0.2968,0.3964,0.1384,0.1513,0.1076,0.1513,0.1240,0.1842,0.0880,0.1076,0.1384,0.3072,0.0880,0.1740,0.2114,0.3516,0.2968,0.1631,0.1240,0.1384,0.1937,0.1384,0.3806,0.3555,0.1513,0.0880,0.3773,0.0880,0.1076,0.1240,0.2803,0.1384,0.3436,0.3216,0.1384
seed_35,0.4107,0.1076,0.4134,0.4134,0.1842,0.4330,0.1842,0.3994,0.2028,0.3806,0.3994,0.4186,0.2028,0.1842,0.1076,0.4260,0.4284,0.4307,0.4134,0.3668,0.4023,0.3516,0.3964,0.4052,0.1740,0.4457,0.4052,0.2196,0.2028,0.1631,0.3872,0.4307,0.3806,0.4666,0.4160,0.2114,0.1842,0.3903,0.4023,0.1513,0.3839,0.3903,0.3631,0.1740,0.4374,0.1631,0.2114,0.2684
seed_36,0.3631,0.1384,0.3668,0.3839,0.1240,0.4052,0.0880,0.3703,0.0880,0.3351,0.4186,0.3703,0.0880,0.1240,0.0624,0.3872,0.3934,0.3668,0.3839,0.3121,0.3703,0.2968,0.3839,0.3668,0.1384,0.3631,0.3307,0.1740,0.1842,0.0624,0.3631,0.3555,0.3738,0.4134,0.3964,0.1240,0.0880,0.3394,0.3216,0.1076,0.3806,0.3773,0.3436,0.0880,0.3668,0.1076,0.1842,0.2803
